Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
DBR1,DBR1,-18.40688438,0.002955625,-46.55746614,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DBR1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBR1)
GEMIN2,GEMIN2,-17.58217645,0.002955625,-44.47149055,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GEMIN2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN2)
ARPC2,ARPC2_P1,-17.53955976,0.002955625,-44.363698,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ARPC2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARPC2)
RNASEK,RNASEK,-16.91036659,0.002919423,-42.86275629,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RNASEK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEK)
VPS16,VPS16,-16.46123465,0.002919423,-41.72434024,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VPS16+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS16)
ATP6AP2,ATP6AP2,-16.39616306,0.00296777,-41.44244554,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6AP2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6AP2)
NEDD8,NEDD8,-16.29514058,0.002919423,-41.3033411,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NEDD8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEDD8)
TBCD,TBCD,-16.25361706,0.002919423,-41.19809131,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TBCD+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCD)
VPS54,VPS54,-16.17209537,0.002919423,-40.99145806,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VPS54+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS54)
SPCS2,SPCS2,-16.1154878,0.002919423,-40.84797467,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SPCS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPCS2)
EXOC3,EXOC3,-16.15345216,0.002985298,-40.78766512,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EXOC3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC3)
EXOC7,EXOC7,-15.95990172,0.002919423,-40.45361017,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EXOC7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC7)
TTC1,TTC1,-16.07769293,0.003052527,-40.4408725,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TTC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC1)
GEMIN4,GEMIN4,-15.88954223,0.002955625,-40.190225,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GEMIN4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN4)
EMC2,EMC2,-15.78112941,0.002955619,-39.91602324,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EMC2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC2)
WRB,WRB,-15.66755242,0.00296777,-39.60083133,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=WRB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRB)
MVD,MVD,-15.61822248,0.002919423,-39.58755479,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MVD+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MVD)
HMGCS1,HMGCS1,-15.5981234,0.002955625,-39.45312456,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HMGCS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCS1)
ALG1,ALG1,-15.41419709,0.002955619,-38.98792243,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ALG1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG1)
PRPF38B,PRPF38B,-15.36956609,0.002955625,-38.87502296,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PRPF38B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF38B)
PPIL1,PPIL1,-15.14909146,0.002985298,-38.25164201,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPIL1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIL1)
TXN,TXN,-14.95893069,0.002985298,-37.77148374,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TXN+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN)
ATP6V1A,ATP6V1A,-14.81934557,0.002955625,-37.4833223,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1A)
C17orf49,C17orf49_P1,-14.80027017,0.002955625,-37.43507393,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=C17orf49+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=C17orf49)
ARL2,ARL2,-14.48979967,0.002919423,-36.72733815,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ARL2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL2)
NEDD8-MDP1,NEDD8-MDP1,-14.45156583,0.002955625,-36.55307835,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NEDD8-MDP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEDD8-MDP1)
TOE1,TOE1,-14.35791758,0.002955625,-36.31620909,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TOE1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOE1)
BRK1,BRK1,-14.31950155,0.002955619,-36.21905262,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=BRK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRK1)
CHMP6,CHMP6,-14.340315,0.003335473,-35.51870251,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CHMP6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP6)
LSM10,LSM10,-13.90488752,0.002955625,-35.17033718,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LSM10+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM10)
SNX15,SNX15_P1,-13.85593044,0.002919423,-35.12066795,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SNX15+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX15)
SUGT1,SUGT1,-13.83898207,0.002919423,-35.07770885,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SUGT1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUGT1)
ORC5,ORC5,-13.95505471,0.003112104,-34.98456647,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ORC5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORC5)
GPKOW,GPKOW,-13.70937107,0.002909058,-34.77036015,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GPKOW+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPKOW)
GMPPB,GMPPB,-13.55679163,0.002919423,-34.3624399,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GMPPB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMPPB)
CHMP2A,CHMP2A,-13.51340379,0.002919423,-34.25246461,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CHMP2A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP2A)
PPP2R1A,PPP2R1A_P1,-13.47161079,0.002955625,-34.07442836,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP2R1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R1A)
COASY,COASY,-13.30149741,0.002928316,-33.69777416,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=COASY+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=COASY)
ILF2,ILF2,-13.39914801,0.003112104,-33.59093847,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ILF2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILF2)
DHX36,DHX36,-13.21173288,0.00296777,-33.39357619,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DHX36+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX36)
CSDE1,CSDE1,-13.1937337,0.002955625,-33.37157977,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CSDE1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSDE1)
GTF3C5,GTF3C5,-13.00475932,0.002955625,-32.89359728,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GTF3C5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3C5)
MED18,MED18,-12.83307228,0.002955625,-32.45934055,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MED18+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED18)
EMC4,EMC4,-12.74703132,0.002955619,-32.24172269,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EMC4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC4)
ZNF207,ZNF207_P1,-12.72172146,0.002955625,-32.17769526,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ZNF207+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF207)
COG3,COG3,-12.67869632,0.002919423,-32.13672911,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=COG3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=COG3)
ACTR2,ACTR2,-12.58453284,0.002955625,-31.83069712,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ACTR2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR2)
SNRNP40,SNRNP40,-12.43580237,0.002955625,-31.45450561,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SNRNP40+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP40)
FNTA,FNTA,-12.43318385,0.002955625,-31.44788245,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FNTA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNTA)
HMGCR,HMGCR,-12.31454523,0.002955625,-31.14780376,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HMGCR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR)
ATP6V1B2,ATP6V1B2,-12.31149452,0.002955625,-31.14008745,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V1B2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1B2)
TUBA1A,TUBA1A,-12.2752733,0.002928316,-31.09795648,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TUBA1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1A)
SEC14L1,SEC14L1_P2,-12.86053458,0.004013798,-30.81955669,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SEC14L1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC14L1)
NELFCD,NELFCD,-12.19445751,0.003032944,-30.70729738,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NELFCD+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NELFCD)
ACTR3,ACTR3,-12.10595903,0.002928316,-30.66901876,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ACTR3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR3)
EXOSC4,EXOSC4,-12.21635481,0.003112104,-30.62573998,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EXOSC4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC4)
TRAPPC1,TRAPPC1,-12.02625337,0.002955625,-30.41861254,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRAPPC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC1)
RBM33,RBM33,-11.84555827,0.002909058,-30.04326931,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RBM33+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM33)
YEATS4,YEATS4,-11.70888657,0.002955625,-29.61588061,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=YEATS4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=YEATS4)
SLC25A3,SLC25A3,-11.66741983,0.002955619,-29.51100576,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC25A3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A3)
SMN1,SMN1_ENST00000380707.4,-12.18022088,0.003816442,-29.45593207,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SMN1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMN1)
SMN2,SMN2_ENST00000380743.4,-12.18022088,0.003816442,-29.45593207,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SMN2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMN2)
SNRNP25,SNRNP25,-11.83273513,0.003335473,-29.30782195,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SNRNP25+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP25)
NDNL2,NDNL2,-11.57668924,0.002955625,-29.28150721,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDNL2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDNL2)
SLBP,SLBP,-11.56007984,0.002955625,-29.23949619,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLBP+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLBP)
GTF3C6,GTF3C6,-11.49957414,0.002955625,-29.08645606,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GTF3C6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3C6)
VPS39,VPS39,-11.46705699,0.002919423,-29.06558331,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VPS39+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS39)
ECD,ECD,-11.58109582,0.003112104,-29.03318009,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ECD+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECD)
SEC61B,SEC61B,-11.43502456,0.002985298,-28.87357747,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SEC61B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC61B)
MOB4,MOB4,-11.36904369,0.002928316,-28.80213069,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MOB4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOB4)
TBCA,TBCA,-11.35672306,0.002919423,-28.7859196,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TBCA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCA)
TMEM167A,TMEM167A,-11.35350287,0.002985298,-28.66773421,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TMEM167A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM167A)
ARPC3,ARPC3_P1,-11.27442345,0.002955625,-28.516971,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ARPC3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARPC3)
PCYT2,PCYT2,-11.26811611,0.002955619,-28.50102631,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PCYT2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCYT2)
RBMX2,RBMX2,-11.32466691,0.003112104,-28.39032669,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RBMX2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMX2)
HSPE1,HSPE1,-11.27943847,0.003052527,-28.37162865,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HSPE1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPE1)
CCNC,CCNC,-11.09312414,0.002928316,-28.10312108,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CCNC+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNC)
FAM210A,FAM210A,-11.15825759,0.003052527,-28.06681747,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FAM210A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM210A)
C14orf2,C14orf2,-11.08185347,0.002955619,-28.02990262,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=C14orf2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=C14orf2)
RB1,RB1,10.95433898,0.002928316,27.75152525,Positive Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RB1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1)
KIF1B,KIF1B,-10.85301736,0.002919423,-27.50917525,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KIF1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF1B)
LONP1,LONP1,-10.96640199,0.003121133,-27.47837827,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LONP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LONP1)
RABIF,RABIF,-10.81183281,0.002919423,-27.40478465,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RABIF+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABIF)
TPRKB,TPRKB,-10.87066062,0.003052527,-27.34341314,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TPRKB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPRKB)
ATP6V0D1,ATP6V0D1,-10.69709231,0.002985298,-27.01028947,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V0D1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0D1)
KAT5,KAT5,-10.65496034,0.002955625,-26.95013155,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KAT5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT5)
SNAPC1,SNAPC1,-10.66349385,0.003032944,-26.85212331,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SNAPC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAPC1)
VPS51,VPS51,-10.53950547,0.002955619,-26.6581139,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VPS51+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS51)
SMARCA4,SMARCA4,-10.51857423,0.002928316,-26.64756667,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SMARCA4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4)
GOSR2,GOSR2,-10.47340681,0.002955619,-26.49092715,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GOSR2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOSR2)
NFRKB,NFRKB,-10.42741993,0.003032944,-26.25765718,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NFRKB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFRKB)
TTC4,TTC4,-10.37693751,0.002985298,-26.20189466,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TTC4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC4)
CIR1,CIR1,-10.3109846,0.002955625,-26.08009626,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CIR1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIR1)
OIP5,OIP5,-10.30878131,0.002955625,-26.07452337,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=OIP5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=OIP5)
PREB,PREB,-10.39778401,0.003121133,-26.05359921,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PREB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PREB)
SMARCE1,SMARCE1,-10.26307747,0.002955619,-25.95893033,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SMARCE1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCE1)
VPS41,VPS41_P1,-10.23999463,0.002919423,-25.95534474,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VPS41+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS41)
ATP6V1F,ATP6V1F,-10.26645105,0.002985298,-25.922915,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V1F+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1F)
HSPD1,HSPD1,-10.30456794,0.003052527,-25.9194973,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HSPD1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1)
MON2,MON2,-10.21897865,0.002919423,-25.90207546,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MON2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MON2)
PFDN1,PFDN1,-10.19265698,0.002928316,-25.82189377,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PFDN1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFDN1)
SCFD1,SCFD1,-10.26236649,0.003052527,-25.81334628,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SCFD1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCFD1)
OGT,OGT,-10.07322262,0.002985298,-25.43501086,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=OGT+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGT)
ZC3H8,ZC3H8,-16.69577643,0.03022859,-25.37060307,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ZC3H8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3H8)
