ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP4155	Endometrial cancer	4/67	63/8205	0.00168468552456085	0.0190499055469573	0.013300148878112	7157/10912/581/324	4
WP45	G1 to S cell cycle control	4/67	64/8205	0.00178606485675959	0.0194482617736044	0.0135782708408624	5925/1028/7157/993	4
WP3651	Pathways affected in adenoid cystic carcinoma	4/67	65/8205	0.00189160693926061	0.0198618728622364	0.0138670433517225	7994/7157/9223/2033	4
WP710	DNA damage response (only ATM dependent)	5/67	111/8205	0.00205270692556373	0.0208102012453702	0.0145291415784003	3725/7157/5599/581/324	5
WP4685	Melanoma	4/67	68/8205	0.00223408540119027	0.0218940369316646	0.0152858474818282	5925/7157/10912/581	4
WP2815	Mammary gland development pathway - Involution (Stage 4 of 4)	2/67	10/8205	0.00283375153979084	0.0268749339580164	0.0187633803144045	7157/581	2
WP4320	Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome	3/67	37/8205	0.00331620932788082	0.030467673199905	0.021271737465025	5925/1108/7157	3
WP5049	Glycolysis in senescence	2/67	11/8205	0.00344526220090319	0.0306941541535011	0.0214298605797806	5925/7157	2
WP2447	Amyotrophic lateral sclerosis (ALS)	3/67	38/8205	0.00357960469284043	0.0309530523439731	0.0216106165666837	7157/581/836	3
WP382	MAPK signaling pathway	7/67	247/8205	0.00384123878053633	0.0322664057565052	0.022527565780589	3725/7157/5599/7786/468/57551/836	7
WP2516	ATM signaling pathway	3/67	40/8205	0.00414393607748991	0.0338421446328343	0.0236277057049864	3725/7157/993	3
WP366	TGF-beta signaling pathway	5/67	133/8205	0.0044863285625337	0.0356481242536462	0.024888593732406	3725/7157/5599/2033/6497	5
WP2036	TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	3/67	42/8205	0.00475947301405189	0.0364469845870319	0.0254463372519557	3725/5599/836	3
WP4919	Neuroinflammation	2/67	13/8205	0.00483480407787158	0.0364469845870319	0.0254463372519557	3725/5599	2
WP4298	Acute viral myocarditis	4/67	86/8205	0.00522095326202767	0.0383740064759033	0.0267917338446157	1676/27/581/836	4
WP5124	Alzheimer's disease	7/67	263/8205	0.00540874756572708	0.0387846776664332	0.0270784537950393	55626/9451/5599/468/324/55102/836	7
WP2873	Aryl hydrocarbon receptor pathway	3/67	45/8205	0.00578158426672897	0.0397433175870518	0.0277477512691554	3725/581/2033	3
WP2446	Retinoblastoma gene in cancer	4/67	90/8205	0.00613137810527363	0.0397433175870518	0.0277477512691554	5925/7157/993/8030	4
WP4861	Endoplasmic reticulum stress response in coronavirus infection	3/67	46/8205	0.0061492249739369	0.0397433175870518	0.0277477512691554	9451/5599/468	3
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	5/67	144/8205	0.00626897254461188	0.0397433175870518	0.0277477512691554	3725/5599/10817/324/836	5
WP3853	ERK pathway in Huntington's disease	2/67	15/8205	0.00644026348317029	0.0397433175870518	0.0277477512691554	3064/836	2
WP5182	Pro-survival signaling of neuroprotectin D1	2/67	15/8205	0.00644026348317029	0.0397433175870518	0.0277477512691554	581/836	2
WP231	TNF-alpha signaling pathway	4/67	92/8205	0.00662388626450864	0.0397433175870518	0.0277477512691554	3725/5599/581/836	4
WP673	ErbB signaling pathway	4/67	92/8205	0.00662388626450864	0.0397433175870518	0.0277477512691554	3725/7157/5599/27	4
WP5300	TROP2 regulatory signaling	3/67	49/8205	0.00733482835409642	0.0431287907220869	0.0301114006115537	5925/3725/581	3
WP4963	p53 transcriptional gene network	4/67	96/8205	0.00768631379870639	0.0443093383690133	0.0309356282920071	79923/6790/993/581	4
WP2857	Mesodermal commitment pathway	5/67	154/8205	0.00827813116323247	0.0468032800382759	0.0326768335390755	79923/5460/688/8030/3064	5
WP4747	Netrin-UNC5B signaling pathway	3/67	52/8205	0.00864695565491944	0.0479661313687984	0.033488706111406	3725/7157/836	3
WP706	Sudden infant death syndrome (SIDS) susceptibility pathways	5/67	160/8205	0.009678125333977	0.0526920157072081	0.0367881957139477	79923/3725/5460/2033/836	5
WP3959	DNA IR-double strand breaks and cellular response via ATM	3/67	55/8205	0.0100884515234486	0.0529643704981052	0.0369783467494827	7157/581/836	3
WP560	TGF-beta receptor signaling	3/67	55/8205	0.0100884515234486	0.0529643704981052	0.0369783467494827	3725/2033/6497	3
WP1742	TP53 network	2/67	19/8205	0.0102703856935606	0.0529735683141549	0.0369847684255646	7157/581	2
WP2507	Nanomaterial induced apoptosis	2/67	20/8205	0.0113518516226178	0.0575421444318904	0.0401744295174316	581/836	2
WP304	Kit receptor signaling pathway	3/67	59/8205	0.0122158082270887	0.0598574603127346	0.0417909228821455	5599/9306/2033	3
WP4816	TGF-beta receptor signaling in skeletal dysplasias	3/67	59/8205	0.0122158082270887	0.0598574603127346	0.0417909228821455	3725/2033/6497	3
WP4864	Host-pathogen interaction of human coronaviruses - apoptosis	2/67	22/8205	0.0136575904915523	0.0658251082707604	0.0459573795660518	581/836	2
WP3612	Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	2/67	23/8205	0.0148802138355281	0.067304351809927	0.0469901489542992	3725/5599	2
WP4942	15q13.3 copy number variation syndrome	2/67	23/8205	0.0148802138355281	0.067304351809927	0.0469901489542992	10936/161725	2
WP5044	Kynurenine pathway and links to cell senescence	2/67	23/8205	0.0148802138355281	0.067304351809927	0.0469901489542992	7157/688	2
WP5046	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	2/67	23/8205	0.0148802138355281	0.067304351809927	0.0469901489542992	5925/7157	2
WP2374	Oncostatin M signaling pathway	3/67	65/8205	0.0158558511487992	0.0703707617465504	0.0491310366651534	7157/5599/836	3
WP1528	Physiological and pathological hypertrophy of the heart	2/67	24/8205	0.0161482566274115	0.0703707617465504	0.0491310366651534	3725/5599	2
WP2324	AGE/RAGE pathway	3/67	66/8205	0.0165155869405169	0.0703707617465504	0.0491310366651534	3725/5599/836	3
WP3680	Physico-chemical features and toxicity-associated pathways	3/67	66/8205	0.0165155869405169	0.0703707617465504	0.0491310366651534	3725/5599/324	3
WP2059	Alzheimer's disease and miRNA effects	7/67	328/8205	0.017028400542684	0.0715192822792727	0.049932903846968	55626/9451/5599/468/324/55102/836	7
WP3303	RAC1/PAK1/p38/MMP2 pathway	3/67	68/8205	0.0178808898035959	0.0740419943979885	0.0516941958739984	7157/5599/581	3
WP2880	Glucocorticoid receptor pathway	3/67	70/8205	0.019307485756761	0.0777589152395581	0.0542892533895948	1028/3725/5460	3
WP3998	Prader-Willi and Angelman syndrome	3/67	70/8205	0.019307485756761	0.0777589152395581	0.0542892533895948	5925/7157/2488	3
WP4906	3q29 copy number variation syndrome	3/67	71/8205	0.0200438234420012	0.0792504405607073	0.0553305975987752	3725/4771/51626	3
WP3613	Photodynamic therapy-induced unfolded protein response	2/67	27/8205	0.0202169491226294	0.0792504405607073	0.0553305975987752	9451/468	2
WP2361	Gastric cancer network 1	2/67	28/8205	0.0216587652166104	0.0826971035543305	0.0577369681098977	6790/324	2
WP5121	Sphingolipid metabolism in senescence	2/67	28/8205	0.0216587652166104	0.0826971035543305	0.0577369681098977	5925/166929	2
WP3972	PDGFR-beta pathway	2/67	29/8205	0.0231420962414019	0.0872279012175919	0.0609002532668472	3725/5599	2
WP2037	Prolactin signaling pathway	3/67	76/8205	0.0239564167194292	0.0880398314439023	0.0614671218459039	3725/5599/836	3
WP4949	16p11.2 proximal deletion syndrome	3/67	76/8205	0.0239564167194292	0.0880398314439023	0.0614671218459039	7157/8030/2186	3
WP3995	Prion disease pathway	2/67	32/8205	0.0278336986571177	0.0997939927462514	0.069673571734762	2033/836	2
WP4838	Regucalcin in proximal tubule epithelial kidney cells	2/67	32/8205	0.0278336986571177	0.0997939927462514	0.069673571734762	581/836	2
WP422	MAPK cascade	2/67	33/8205	0.0294756547779301	0.101248528796619	0.0706890909965651	3725/7786	2
WP4496	Signal transduction through IL1R	2/67	33/8205	0.0294756547779301	0.101248528796619	0.0706890909965651	3725/5599	2
WP4880	Host-pathogen interaction of human coronaviruses - interferon induction	2/67	33/8205	0.0294756547779301	0.101248528796619	0.0706890909965651	3725/5599	2
WP2261	Glioblastoma signaling pathways	3/67	83/8205	0.0300805424326159	0.101248528796619	0.0706890909965651	5925/7157/2033	3
WP2853	Endoderm differentiation	4/67	145/8205	0.0304153927517991	0.101248528796619	0.0706890909965651	79923/5460/324/2186	4
WP5224	2q37 copy number variation syndrome	4/67	145/8205	0.0304153927517991	0.101248528796619	0.0706890909965651	3725/84289/7157/116987	4
WP4352	Ciliary landscape	5/67	215/8205	0.0306500648397927	0.101248528796619	0.0706890909965651	5925/7328/25904/10982/324	5
WP313	Hepatocyte growth factor receptor signaling	2/67	34/8205	0.0311554537980486	0.101774482406959	0.0710562981359003	3725/5599	2
WP4877	Host-pathogen interaction of human coronaviruses - MAPK signaling	2/67	36/8205	0.0346257589888592	0.111573779831659	0.0778979128792463	3725/5599	2
WP5098	T-cell activation SARS-CoV-2	3/67	88/8205	0.0349142440289545	0.111573779831659	0.0778979128792463	3725/7157/581	3
WP138	Androgen receptor signaling pathway	3/67	91/8205	0.0379964621878006	0.119598755427811	0.0835007422428327	5925/3725/2033	3
WP3614	Photodynamic therapy-induced HIF-1 survival signaling	2/67	38/8205	0.0382390578578716	0.119598755427811	0.0835007422428327	7157/581	2
WP2526	PDGF pathway	2/67	40/8205	0.0419899307521699	0.127160656271437	0.0887802648511645	3725/5599	2
WP2828	Bladder cancer	2/67	40/8205	0.0419899307521699	0.127160656271437	0.0887802648511645	5925/7157	2
WP3941	Oxidative damage response	2/67	40/8205	0.0419899307521699	0.127160656271437	0.0887802648511645	1028/836	2
WP2882	Nuclear receptors meta-pathway	6/67	314/8205	0.0423868854238124	0.127160656271437	0.0887802648511645	1028/3725/5460/55117/581/2033	6
WP437	EGF/EGFR signaling pathway	4/67	163/8205	0.0438112741454417	0.130106208068282	0.0908367725503577	3725/5599/6790/5782	4
WP2038	Microtubule cytoskeleton regulation	2/67	46/8205	0.0540157879610056	0.157234075846888	0.109776744683649	57551/324	2
WP2586	Aryl hydrocarbon receptor pathway	2/67	46/8205	0.0540157879610056	0.157234075846888	0.109776744683649	5925/2033	2
WP4534	Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	2/67	47/8205	0.0561262424601536	0.161775640032207	0.112947546746439	5599/4771	2
WP5090	Complement system in neuronal development and plasticity	3/67	107/8205	0.0566819865722699	0.16179130147813	0.112958481160885	57048/581/836	3
WP4312	Rett syndrome causing genes	2/67	48/8205	0.0582653955142253	0.164711791165214	0.114997491146497	1108/3064	2
WP286	IL-3 signaling pathway	2/67	50/8205	0.062627431078058	0.175356807018562	0.122429564513497	3725/5599	2
WP5055	Burn wound healing	3/67	113/8205	0.0646299049223721	0.178183643596437	0.124403188332636	7157/581/836	3
WP363	Wnt signaling pathway	2/67	51/8205	0.0648491492000639	0.178183643596437	0.124403188332636	5599/324	2
WP428	Wnt signaling	3/67	115/8205	0.0673884465079737	0.181763332782975	0.126902434273828	3725/5599/324	3
WP4659	Gastrin signaling pathway	3/67	115/8205	0.0673884465079737	0.181763332782975	0.126902434273828	3725/5599/836	3
WP2406	Cardiac progenitor differentiation	2/67	53/8205	0.0693711304686064	0.185410112343366	0.129448520970127	79923/5460	2
WP195	IL-1 signaling pathway	2/67	55/8205	0.0739941154735098	0.194234553117963	0.135609516140361	3725/5599	2
WP2018	RANKL/RANK signaling pathway	2/67	55/8205	0.0739941154735098	0.194234553117963	0.135609516140361	3725/5599	2
WP2431	Spinal cord injury	3/67	121/8205	0.0759821479689507	0.19623999692038	0.137009664874594	5925/7157/836	3
WP4879	Overlap between signal transduction pathways contributing to LMNA laminopathies	2/67	57/8205	0.0787137362057435	0.19623999692038	0.137009664874594	5925/324	2
WP2333	Trans-sulfuration pathway	1/67	10/8205	0.078762991961241	0.19623999692038	0.137009664874594	191	1
WP438	Non-homologous end joining	1/67	10/8205	0.078762991961241	0.19623999692038	0.137009664874594	27434	1
WP4399	MicroRNA network associated with chronic lymphocytic leukemia	1/67	10/8205	0.078762991961241	0.19623999692038	0.137009664874594	7157	1
WP5050	TCA cycle in senescence	1/67	10/8205	0.078762991961241	0.19623999692038	0.137009664874594	7157	1
WP3527	Pre-implantation embryo	2/67	59/8205	0.0835257362383418	0.204638053783938	0.142872969881374	79923/5460	2
WP4205	MET in type 1 papillary renal cell carcinoma	2/67	59/8205	0.0835257362383418	0.204638053783938	0.142872969881374	3725/5599	2
WP3672	lncRNA-mediated mechanisms of therapeutic resistance	1/67	11/8205	0.0862947649372746	0.209674883401312	0.146389553395116	7157	1
WP5180	DYRK1A	2/67	62/8205	0.0909079046917169	0.218278754671857	0.152396552671006	7157/836	2
WP236	Adipogenesis	3/67	131/8205	0.0913207034851646	0.218278754671857	0.152396552671006	5925/9663/688	3
WP2513	Nanoparticle triggered regulated necrosis	1/67	12/8205	0.093765871936201	0.220537330793945	0.153973431811025	5599	1
WP4292	Methionine metabolism leading to sulfur amino acids and related disorders	1/67	12/8205	0.093765871936201	0.220537330793945	0.153973431811025	191	1
WP2032	Thyroid stimulating hormone (TSH) signaling pathway	2/67	66/8205	0.101036305737627	0.230588972959474	0.160991227093081	5925/3725	2
WP2881	Estrogen receptor pathway	1/67	13/8205	0.101176794257728	0.230588972959474	0.160991227093081	3725	1
WP3301	MFAP5-mediated ovarian cancer cell motility and invasiveness	1/67	13/8205	0.101176794257728	0.230588972959474	0.160991227093081	3725	1
WP4211	Transcriptional cascade regulating adipogenesis	1/67	13/8205	0.101176794257728	0.230588972959474	0.160991227093081	688	1
WP1545	miRNAs involved in DNA damage response	2/67	68/8205	0.106214212838995	0.240207527497419	0.167706651851044	7157/993	2
WP176	Folate metabolism	2/67	69/8205	0.108829965036133	0.244244349012389	0.170525055701453	7157/191	2
WP5130	Th17 cell differentiation pathway	2/67	70/8205	0.111462979132585	0.248258453522575	0.173327599129618	3725/5599	2
WP3	Transcriptional activation by NRF2 in response to phytochemicals	1/67	15/8205	0.115819991295572	0.252230203265913	0.176100571560519	5599	1
WP3299	let-7 inhibition of ES cell reprogramming	1/67	15/8205	0.115819991295572	0.252230203265913	0.176100571560519	5460	1
WP4504	Cysteine and methionine catabolism	1/67	15/8205	0.115819991295572	0.252230203265913	0.176100571560519	191	1
WP4674	Head and neck squamous cell carcinoma	2/67	74/8205	0.122158835059293	0.256579033462722	0.179136811762373	5925/7157	2
WP12	Osteoclast signaling	1/67	16/8205	0.123053209925999	0.256579033462722	0.179136811762373	5599	1
WP2435	Quercetin and Nf-kB / AP-1 induced apoptosis	1/67	16/8205	0.123053209925999	0.256579033462722	0.179136811762373	3725	1
WP3969	H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	1/67	16/8205	0.123053209925999	0.256579033462722	0.179136811762373	5925	1
WP4928	MAPK pathway in congenital thyroid cancer	1/67	16/8205	0.123053209925999	0.256579033462722	0.179136811762373	3725	1
WP53	ID signaling pathway	1/67	16/8205	0.123053209925999	0.256579033462722	0.179136811762373	5925	1
WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	2/67	75/8205	0.124871595220359	0.258536964752011	0.18050378849496	3725/5599	2
WP2034	Leptin signaling pathway	2/67	76/8205	0.127599032477141	0.260456263528871	0.181843793011564	5599/581	2
WP3664	Regulation of Wnt / B-catenin signaling by small molecule compounds	1/67	17/8205	0.130228131764436	0.260456263528871	0.181843793011564	324	1
WP3874	Canonical and non-canonical TGF-B signaling	1/67	17/8205	0.130228131764436	0.260456263528871	0.181843793011564	5599	1
WP4815	Glycosaminoglycan degradation	1/67	17/8205	0.130228131764436	0.260456263528871	0.181843793011564	23553	1
WP4872	MAP3K1 role in promoting and blocking gonadal determination	1/67	17/8205	0.130228131764436	0.260456263528871	0.181843793011564	10912	1
WP3877	MYD88 distinct input-output pathway	1/67	18/8205	0.137345219596846	0.265654569483374	0.185473115106545	3725	1
WP4533	Transcription co-factors SKI and SKIL protein partners	1/67	18/8205	0.137345219596846	0.265654569483374	0.185473115106545	6497	1
WP4560	MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	1/67	18/8205	0.137345219596846	0.265654569483374	0.185473115106545	3725	1
WP4936	Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins	1/67	18/8205	0.137345219596846	0.265654569483374	0.185473115106545	55102	1
WP5101	Congenital generalized lipodystrophy	1/67	18/8205	0.137345219596846	0.265654569483374	0.185473115106545	9663	1
WP5205	Clock-controlled autophagy in bone metabolism	2/67	80/8205	0.138647419066311	0.266420530754873	0.186007889356249	55626/6096	2
WP3888	VEGFA-VEGFR2 signaling	6/67	432/8205	0.139812459743656	0.266914695874252	0.186352902597491	441478/3725/9451/5599/468/26058	6
WP481	Insulin signaling	3/67	160/8205	0.142116993054424	0.269563844890328	0.188202469579713	3725/5599/7786	3
WP3287	Overview of nanoparticle effects	1/67	19/8205	0.144404932591474	0.270414332368748	0.188796257829953	581	1
WP384	Apoptosis modulation by HSP70	1/67	19/8205	0.144404932591474	0.270414332368748	0.188796257829953	836	1
WP5087	Malignant pleural mesothelioma	6/67	440/8205	0.148670703710421	0.273091236441981	0.19066520267163	3725/7157/5599/4771/581/324	6
WP3927	BMP signaling in eyelid development	1/67	20/8205	0.151407726326677	0.273091236441981	0.19066520267163	3725	1
WP4206	Hereditary leiomyomatosis and renal cell carcinoma pathway	1/67	20/8205	0.151407726326677	0.273091236441981	0.19066520267163	7157	1
WP5149	Lipid metabolism in senescent cells	1/67	20/8205	0.151407726326677	0.273091236441981	0.19066520267163	7157	1
WP5223	2q21.1 copy number variation syndrome	1/67	20/8205	0.151407726326677	0.273091236441981	0.19066520267163	324	1
WP5275	Ether lipid biosynthesis	1/67	20/8205	0.151407726326677	0.273091236441981	0.19066520267163	9663	1
WP3657	Hematopoietic stem cell gene regulation by GABP alpha/beta complex	1/67	21/8205	0.158354052818566	0.279324796536858	0.195017312297484	2033	1
WP4142	Metabolism of sphingolipids in ER and Golgi apparatus	1/67	21/8205	0.158354052818566	0.279324796536858	0.195017312297484	166929	1
WP4970	Galanin receptor pathway	1/67	21/8205	0.158354052818566	0.279324796536858	0.195017312297484	1028	1
WP1584	Type II diabetes mellitus	1/67	22/8205	0.165244360548424	0.279324796536858	0.195017312297484	5599	1
WP3580	Methionine de novo and salvage pathway	1/67	22/8205	0.165244360548424	0.279324796536858	0.195017312297484	191	1
WP3599	Transcription factor regulation in adipogenesis	1/67	22/8205	0.165244360548424	0.279324796536858	0.195017312297484	5599	1
WP5194	Synthesis of ceramides and 1-deoxyceramides	1/67	22/8205	0.165244360548424	0.279324796536858	0.195017312297484	166929	1
WP4336	ncRNAs involved in Wnt signaling in hepatocellular carcinoma	2/67	90/8205	0.167104026536875	0.279324796536858	0.195017312297484	3725/324	2
WP69	T-cell receptor signaling pathway	2/67	90/8205	0.167104026536875	0.279324796536858	0.195017312297484	3725/5599	2
WP2509	Nanoparticle triggered autophagic cell death	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	55626	1
WP262	Ebstein-Barr virus LMP1 signaling	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	5599	1
WP3872	Regulation of apoptosis by parathyroid hormone-related protein	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	581	1
WP4357	NRF2-ARE regulation	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	5599	1
WP4537	Hippo-YAP signaling	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	4771	1
WP4585	Cancer immunotherapy by PD-1 blockade	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	3725	1
WP4725	Sphingolipid metabolism overview	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	166929	1
WP5181	Roles of ceramides in development of insulin resistance	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	5599	1
WP712	Estrogen signaling pathway	1/67	23/8205	0.172079094489919	0.279324796536858	0.195017312297484	3725	1
WP2355	Corticotropin-releasing hormone signaling pathway	2/67	92/8205	0.172915350237102	0.279324796536858	0.195017312297484	5599/836	2
WP4288	MTHFR deficiency	1/67	24/8205	0.178858696136115	0.285785090565314	0.199527721662142	836	1
WP5272	LDL- influence on CD14 and TLR4	1/67	24/8205	0.178858696136115	0.285785090565314	0.199527721662142	468	1
WP4754	IL-18 signaling pathway	4/67	273/8205	0.183132782781655	0.291032638582738	0.203191423285478	3725/7157/581/836	4
WP2249	Metastatic brain tumor	1/67	25/8205	0.185583603526272	0.291773152068043	0.20370843055234	7157	1
WP3668	Hypothesized pathways in pathogenesis of cardiovascular disease	1/67	25/8205	0.185583603526272	0.291773152068043	0.20370843055234	5599	1
WP23	B cell receptor signaling pathway	2/67	97/8205	0.187585192930271	0.293351312348402	0.204810261038089	3725/5599	2
WP3658	Wnt/beta-catenin signaling pathway in leukemia	1/67	26/8205	0.192254251272451	0.297488157232108	0.207698498604587	324	1
WP4726	Sphingolipid metabolism: integrated pathway	1/67	26/8205	0.192254251272451	0.297488157232108	0.207698498604587	166929	1
WP4258	lncRNA in canonical Wnt signaling and colorectal cancer	2/67	99/8205	0.193503120791133	0.29785297127012	0.207953202283113	3725/324	2
WP2035	Follicle stimulating hormone (FSH) signaling pathway	1/67	27/8205	0.198871070585906	0.30294349612568	0.211507274416425	2488	1
WP4532	Intraflagellar transport proteins binding to dynein	1/67	27/8205	0.198871070585906	0.30294349612568	0.211507274416425	51626	1
WP75	Toll-like receptor signaling pathway	2/67	103/8205	0.20541143206091	0.309731999257263	0.216246830845565	3725/5599	2
WP2643	Nanoparticle-mediated activation of receptor signaling	1/67	28/8205	0.205434489303287	0.309731999257263	0.216246830845565	5599	1
WP241	One-carbon metabolism	1/67	29/8205	0.21194493191264	0.316303603971148	0.220834954437429	191	1
WP3869	Cannabinoid receptor signaling	1/67	29/8205	0.21194493191264	0.316303603971148	0.220834954437429	5599	1
WP1422	Sphingolipid pathway	1/67	30/8205	0.218402819579207	0.316307531804369	0.220837696748485	166929	1
WP2533	Glycerophospholipid biosynthetic pathway	1/67	30/8205	0.218402819579207	0.316307531804369	0.220837696748485	9663	1
WP2855	Dopaminergic neurogenesis	1/67	30/8205	0.218402819579207	0.316307531804369	0.220837696748485	1028	1
WP2870	Extracellular vesicle-mediated signaling in recipient cells	1/67	30/8205	0.218402819579207	0.316307531804369	0.220837696748485	324	1
WP4923	Autophagy	1/67	30/8205	0.218402819579207	0.316307531804369	0.220837696748485	55626	1
WP5102	Familial partial lipodystrophy	1/67	30/8205	0.218402819579207	0.316307531804369	0.220837696748485	688	1
WP3996	Ethanol effects on histone modifications	1/67	31/8205	0.224808570171035	0.320843299176137	0.224004451626734	191	1
WP4204	Tumor suppressor activity of SMARCB1	1/67	31/8205	0.224808570171035	0.320843299176137	0.224004451626734	5925	1
WP5122	Prostaglandin and leukotriene metabolism in senescence 	1/67	31/8205	0.224808570171035	0.320843299176137	0.224004451626734	5925	1
WP2363	Gastric cancer network 2	1/67	32/8205	0.231162598284387	0.325176095194305	0.227029497181846	7157	1
WP3414	Initiation of transcription and translation elongation at the HIV-1 LTR	1/67	32/8205	0.231162598284387	0.325176095194305	0.227029497181846	2033	1
WP4149	White fat cell differentiation	1/67	32/8205	0.231162598284387	0.325176095194305	0.227029497181846	688	1
WP465	Tryptophan metabolism	1/67	33/8205	0.237465315268964	0.33087584212832	0.231008912334487	11185	1
WP4874	CAMKK2 pathway	1/67	33/8205	0.237465315268964	0.33087584212832	0.231008912334487	2033	1
WP1601	Fluoropyrimidine activity	1/67	34/8205	0.243717129252931	0.331726092594267	0.23160253510878	7157	1
WP4241	Type 2 papillary renal cell carcinoma	1/67	34/8205	0.243717129252931	0.331726092594267	0.23160253510878	2033	1
WP5117	Cohesin complex - Cornelia de Lange syndrome	1/67	34/8205	0.243717129252931	0.331726092594267	0.23160253510878	324	1
WP5202	Alstrom syndrome	1/67	34/8205	0.243717129252931	0.331726092594267	0.23160253510878	5991	1
WP5321	Prostaglandin and leukotriene metabolism in senescence 	1/67	34/8205	0.243717129252931	0.331726092594267	0.23160253510878	5925	1
